metric,value
domain_expertise,1
latency_pr_overall_hours,40.67
latency_pr_maintainers_hours,17.5
latency_pr_community_hours,50.13
latency_issue_overall_hours,48.52
latency_issue_maintainers_hours,1.73
latency_issue_community_hours,48.99
open_issues,1000
open_prs,490
review_distribution_variance,0
throughput_pr_overall_per_day,7.04
throughput_pr_maintainers_per_day,2.07
throughput_pr_community_per_day,5.03
throughput_issue_overall_per_day,8.87
throughput_issue_maintainers_per_day,0
throughput_issue_community_per_day,8.78
throughput_issue_overall_days_per_issue,0.11
throughput_issue_maintainers_days_per_issue,0
throughput_issue_community_days_per_issue,0.11
time_to_first_response_overall_hours,1.55
time_to_first_response_maintainers_hours,0.17
time_to_first_response_1p_hours,0.01
user_touches_overall,4.62
user_touches_maintainers,5.27
user_touches_community,4.51
