assignee,count
"UNASSIGNED",856
"mahimashanware",14
"moisgobg",14
"mbleigh",7
"devr0306",6
"mattKorwel",6
"joshualitt",6
"keithguerin",5
"kschaab",5
"sripasg",4
"alisa-alisa",4
"sehoon38",4
"SandyTao520",4
"abhipatel12",3
"akh64bit",3
"tusaryan",3
"Anjaligarhwal",2
"ruomengz",2
"jasonmatthewsuhari",2
"BharathC0",2
"jacob314",2
"spencer426",2
"gsquared94",2
"gundermanc",2
"jkcinouye",2
"galz10",2
"yunaseoul",2
"Br1an67",2
"Gitanaskhan26",2
"adamfweidman",2
"euxaristia",2
"TravisHaa",2
"kamal2730",1
"KoushikAD1234",1
"Anshikakalpana",1
"abhaysinghs772",1
"Adib234",1
"jackwotherspoon",1
"g-samroberts",1
"husenzhang",1
"cocosheng-g",1
"renuka16032007",1
"cynthialong0-0",1
"krishdef7",1
"Aarchi-07",1
"rwmyers",1
"clocky",1
"ehedlund",1
"Abhijit-2592",1
"chrisjcthomas",1
"chrstnb",1
"anj-s",1
"scidomino",1
"sahilkirad",1
"ARYANKUMAR1",1
"SupunGeethanjana",1
"jk-kashe",1
"rmedranollamas",1
"AjayBora002",1
"manas-raj999",1
"student-ankitpandit",1
"ak91456",1
"elliotllliu",1
"daehyeok",1
"1nonlyasta",1
"skainguyen1412",1
"AshwinSaklecha",1
